DTXSID,Chemical,CASRN,SMILES,Library,Max conc,Median % activity at max conc,EC20,EC50,Hill Slope,Rank ,,,,,,
DTXSID5048186,Tetrac,67-30-1,OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1,ph2,93.214,107.7353581,0.011080062,0.016645362,-3.312773971,1,,,,,,
DTXSID1020069,o-Aminoazotoluene,97-56-3,CC1=CC=CC=C1N=NC1=CC(C)=C(N)C=C1,ph2,100,109.3586686,0.007297109,0.018347497,-1.444552568,2,,,,,,
DTXSID1022053,"4,6-Dinitro-o-cresol",534-52-1,CC1=C(O)C(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,ph2,100.002,109.479164,0.003679262,0.020406832,-0.777753923,3,,,,,,
DTXSID2045232,Tiratricol,51-24-1,OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1,ph2,99.9955,104.6952002,0.008391759,0.020702826,-1.504986351,4,,,,,,
DTXSID3022162,Bromoxynil,1689-84-5,OC1=C(Br)C=C(C=C1Br)C#N,ph1_v2,99.999,103.5257172,0.007256365,0.022400471,-1.209353747,5,,,,,,
DTXSID1026081,"3,3',5,5'-Tetrabromobisphenol A",79-94-7,CC(C)(C1=CC(Br)=C(O)C(Br)=C1)C1=CC(Br)=C(O)C(Br)=C1,ph2,100,107.1501112,0.014649284,0.024010542,-2.744485582,6,,,,,,
DTXSID3020465,Diethylstilbestrol,56-53-1,CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,ph2,100,104.269047,0.010706733,0.025004855,-1.604353747,7,,,,,,
DTXSID6021959,"2,4,6-Tribromophenol",118-79-6,OC1=C(Br)C=C(Br)C=C1Br,e1k,100.0015,106.3435619,0.014200073,0.028375473,-1.961415342,8,,,,,,
DTXSID2044713,Acid Red 337,67786-14-5,[Na+].NC1=C(N=NC2=CC=CC=C2C(F)(F)F)C2=C(C=C1)C=C(C=C2O)S([O-])(=O)=O,e1k,100.0385,106.9942666,0.012697691,0.032754564,-1.414559665,9,,,,,,
DTXSID3021770,"2,2',6,6'-Tetrachlorobisphenol A",79-95-8,CC(C)(C1=CC(Cl)=C(O)C(Cl)=C1)C1=CC(Cl)=C(O)C(Cl)=C1,e1k,100,106.9477005,0.012223091,0.033078513,-1.353896108,10,,,,,,
DTXSID0022353,2-Chloro-4-phenylphenol,92-04-6,OC1=CC(Cl)=C(C=C1)C1=CC=CC=C1,e1k,100,106.0519621,0.014534132,0.034426868,-1.565360213,11,,,,,,
DTXSID9032533,4-Bromo-2-(4-chlorophenyl)-1-(ethoxymethyl)-5-(trifluoromethyl)-1H-pyrrole-3-carbonitrile,122453-73-0,CCOCN1C(=C(C#N)C(Br)=C1C(F)(F)F)C1=CC=C(Cl)C=C1,e1k,100,103.1070805,0.016655184,0.034902831,-1.871315336,12,,,,,,
DTXSID6022391,Apigenin,520-36-5,OC1=CC=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C=C2O,e1k,99.9825,104.3874018,0.012433595,0.035204251,-1.315377567,13,,,,,,
DTXSID3040352,Dinocap,39300-45-3, ,e1k,100,111.9518158,0.012007244,0.036323349,-1.189218571,14,,,,,,
DTXSID5021386,"2,4,6-Trichlorophenol",88-06-2,OC1=C(Cl)C=C(Cl)C=C1Cl,ph2,99.998,103.8920748,0.011026122,0.042160936,-1.016438846,15,,,,,,
DTXSID7047304,CP-100829,135080-03-4,NC(=O)N1C(=O)C(C(=O)C2=CC(Cl)=CS2)C2=C1C=C(Cl)C(F)=C2,ph2,100,107.5600754,0.012742628,0.042347934,-1.110471,16,,,,,,
DTXSID8022406,"2,4-Dihydroxybenzophenone",131-56-6,OC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1,e1k,100.0035,105.482267,0.009659581,0.044896293,-0.879638878,17,,,,,,
DTXSID0021125,Phenolphthalein,77-09-8,OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,ph2,100,104.4650076,0.006539644,0.048843476,-0.671732575,18,,,,,,
DTXSID0024000,Chlorthal-dimethyl,1861-32-1,COC(=O)C1=C(Cl)C(Cl)=C(C(=O)OC)C(Cl)=C1Cl,ph2,100.0015,103.2455139,0.011574393,0.055079941,-0.877417147,19,,,,,,
DTXSID1022396,Chrysin,480-40-0,OC1=CC2=C(C(O)=C1)C(=O)C=C(O2)C1=CC=CC=C1,e1k,99.9965,105.3417279,0.012840327,0.055085801,-0.929871063,20,,,,,,
DTXSID7032551,Fluazinam,79622-59-6,[O-][N+](=O)C1=CC(=C(Cl)C(=C1NC1=C(Cl)C=C(C=N1)C(F)(F)F)[N+]([O-])=O)C(F)(F)F,ph1_v2,100,109.8171319,0.015526724,0.061937163,-0.958055943,21,,,,,,
DTXSID2041709,"C.I. Acid Orange 8, monosodium salt",5850-86-2,[Na+].CC1=C(C=CC(=C1)S([O-])(=O)=O)N=NC1=C(O)C=CC2=CC=CC=C12,e1k,100.0015,109.1187761,0.017547063,0.071603298,-0.946260288,22,,,,,,
DTXSID8037708,Ammonium perfluorooctanoate,3825-26-1,[NH4+].[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ph2,100.0015,103.8388263,0.011358188,0.074956662,-0.715918357,23,,,,,,
